,0
0,advertentie                                        Score: 42.28538524209153
1,fiat                                               Score: 42.150985757660116
2,ford                                               Score: 36.73493271513384
3,renault                                            Score: 32.636531277146304
4,tel                                                Score: 31.943317474132584
5,auto                                               Score: 26.53941854908762
6,amsterdam                                          Score: 26.118299385283933
7,opel                                               Score: 25.583986564201194
8,nieuwe                                             Score: 25.333464796958545
9,peugeot                                            Score: 23.45451502662999
10,dealer                                             Score: 20.969679616121162
11,prijs                                              Score: 19.194741476208414
12,jaar                                               Score: 19.02879914878611
13,alle                                               Score: 18.28446592258596
14,btw                                                Score: 18.099438348968434
15,nederland                                          Score: 16.332084613251997
16,deurs                                              Score: 16.302787236443546
17,vanaf                                              Score: 16.195922351056556
18,motor                                              Score: 16.0257022496087
19,mazda                                              Score: 15.616659941296694
20,extra                                              Score: 15.336480356412183
21,simca                                              Score: 14.759269488163298
22,prijzen                                            Score: 14.757803749799766
23,wagen                                              Score: 14.714017653502466
24,proefrit                                           Score: 14.28949636689174
25,kunt                                               Score: 14.082827364395941
26,dealers                                            Score: 12.199324831659428
27,garantie                                           Score: 12.10395849500275
28,importeur                                          Score: 11.801450386813139
29,mcl                                                Score: 11.766317704633519
30,honda                                              Score: 11.71066666408428
31,telefoon                                           Score: 11.294818072453463
32,per                                                Score: 11.164334945844523
33,den                                                Score: 10.916169421858074
34,weg                                                Score: 10.904867139185221
35,uur                                                Score: 10.898672404837788
36,rijden                                             Score: 10.895158450879697
37,maken                                              Score: 10.89194972031654
38,grote                                              Score: 10.81026148030819
39,ruimte                                             Score: 10.701548467719604
40,voorbehouden                                       Score: 10.5787962779834
41,luxe                                               Score: 10.522736582901624
42,leonard                                            Score: 10.500444874882135
43,sedan                                              Score: 10.426760691884128
44,staat                                              Score: 10.336396922729412
45,alleen                                             Score: 10.277753612578262
46,liter                                              Score: 10.24201204959853
47,leverbaar                                          Score: 10.19242730389586
48,kmu                                                Score: 10.130822291614892
49,diesel                                             Score: 10.019256836648657
50,goed                                               Score: 9.940621650131904
51,elke                                               Score: 9.914949786121891
52,wel                                                Score: 9.795839567425542
53,comfort                                            Score: 9.723006929903637
54,snel                                               Score: 9.701637640442012
55,mercedes                                           Score: 9.70153711391012
56,lang                                               Score: 9.699852698388883
57,standaard                                          Score: 9.67753531745056
58,autos                                              Score: 9.575953294117026
59,toyota                                             Score: 9.571726637467245
60,zon                                                Score: 9.465166912974341
61,achter                                             Score: 9.38891503119565
62,vraag                                              Score: 9.363883119375874
63,wijzigingen                                        Score: 9.358690334717775
64,zeer                                               Score: 9.334227646509412
65,klasse                                             Score: 9.29747372926397
66,wij                                                Score: 9.293476368737274
67,waar                                               Score: 9.124416841338064
68,langs                                              Score: 9.07700746190446
69,haag                                               Score: 8.993058817524897
70,inclusief                                          Score: 8.951832788018908
71,nieuw                                              Score: 8.844351009366964
72,wonder                                             Score: 8.772993159157078
73,bovendien                                          Score: 8.606497962713375
74,gaat                                               Score: 8.49931560904462
75,lil                                                Score: 8.455267069297161
76,gratis                                             Score: 8.4248558558433
77,wielen                                             Score: 8.394348316447967
78,extras                                             Score: 8.376495220255716
79,even                                               Score: 8.360250263811947
80,twee                                               Score: 8.26036679528681
81,automobielbedrijven                                Score: 8.183428008550171
82,biedt                                              Score: 8.132567304746505
83,maakt                                              Score: 8.077692861317356
84,excl                                               Score: 8.07172622998221
85,ruim                                               Score: 8.066217759994608
86,chrysler                                           Score: 8.050544539497247
87,modellen                                           Score: 8.037293859979288
88,heel                                               Score: 8.017984886294547
89,stadhouderskade                                    Score: 8.00770874124058
90,kosten                                             Score: 7.891518128580316
91,afleveringskosten                                  Score: 7.8586421178224395
92,onze                                               Score: 7.857442291237755
93,audi                                               Score: 7.82636527982791
94,rijdt                                              Score: 7.788973450455069
95,volkswagen                                         Score: 7.690232881104142
96,official                                           Score: 7.68411420857596
97,krijgt                                             Score: 7.682637936552988
98,weet                                               Score: 7.6713364482177395
99,bel                                                Score: 7.670091368598379
100,speciale                                           Score: 7.661296991157511
101,meest                                              Score: 7.6350131082383905
102,alfa                                               Score: 7.628918693252035
103,geeft                                              Score: 7.430602405721782
104,uno                                                Score: 7.380781458934745
105,maak                                               Score: 7.350279649081164
106,sportieve                                          Score: 7.336407391618838
107,voordeel                                           Score: 7.3149868155241995
108,uwe                                                Score: 7.30940906803566
109,corsa                                              Score: 7.289636101015884
110,zuinig                                             Score: 7.255866768340114
111,verkrijgbaar                                       Score: 7.255594807285489
112,benzine                                            Score: 7.183592743125403
113,escort                                             Score: 7.067320294339099
114,binnen                                             Score: 7.042118823719277
115,bent                                               Score: 7.020161851633776
116,komt                                               Score: 6.9166849773715295
117,natuurlijk                                         Score: 6.910162888829046
118,uitvoering                                         Score: 6.871881513702018
119,service                                            Score: 6.844860106963268
120,lage                                               Score: 6.841084425053337
121,financiering                                       Score: 6.83893517580222
122,mee                                                Score: 6.824777111089702
123,utrecht                                            Score: 6.803883670230253
124,ver                                                Score: 6.794900705829849
125,verstelbare                                        Score: 6.769720573466141
126,fabriek                                            Score: 6.76940318582444
127,goede                                              Score: 6.759946110793469
128,imp                                                Score: 6.75096544467501
129,veiligheid                                         Score: 6.723954947613973
130,interieur                                          Score: 6.721123508340973
131,maanden                                            Score: 6.703116640191742
132,telefoo                                            Score: 6.674231573306283
133,keuze                                              Score: 6.67377574414013
134,wegligging                                         Score: 6.643627228694773
135,zelfs                                              Score: 6.621939778082839
136,open                                               Score: 6.616669493709186
137,slechts                                            Score: 6.558308665246286
138,prestaties                                         Score: 6.498812263023029
139,garage                                             Score: 6.462112239725746
140,daarom                                             Score: 6.450267031438698
141,weer                                               Score: 6.444149946746465
142,verwarming                                         Score: 6.40740646884069
143,gulden                                             Score: 6.400596529544313
144,zoals                                              Score: 6.322408150379769
145,vele                                               Score: 6.307010426232607
146,wilt                                               Score: 6.3063631237254745
147,kom                                                Score: 6.306097548275005
148,zit                                                Score: 6.301831703416351
149,seat                                               Score: 6.286141574697698
150,groot                                              Score: 6.271376199107804
151,gaan                                               Score: 6.2506322144277515
152,kijk                                               Score: 6.188801555042886
153,vier                                               Score: 6.186093039044967
154,drie                                               Score: 6.12230797925154
155,geld                                               Score: 6.022284351947303
156,rotterdam                                          Score: 6.008753776095176
157,automobielbedrijf                                  Score: 5.998908270683096
